,Chicken_No,Weight
count,90.0,90.0
mean,45.5,2.108092222222222
std,26.124700955226263,0.11152362598261234
min,1.0,1.9078
25%,23.25,2.0214999999999996
50%,45.5,2.1079
75%,67.75,2.2045
max,90.0,2.2939
