Day,Date,Time,Temperature,Humidity,Gas Level
1,2023-12-12,0,23.56,54.54,0.0
1,2023-12-12,1,23.09,56.13,0.0
1,2023-12-12,2,23.0,55.96,0.0
1,2023-12-12,3,22.91,55.43,0.0
1,2023-12-12,4,22.69,55.45,0.0
1,2023-12-12,5,22.52,55.29,0.0
1,2023-12-12,6,22.44,55.36,0.0
1,2023-12-12,7,22.29,54.99,0.0
1,2023-12-12,8,22.19,54.53,0.0
1,2023-12-12,9,22.04,53.89,0.0
1,2023-12-12,10,22.03,53.66,0.0
1,2023-12-12,11,21.7,54.15,0.0
1,2023-12-12,12,21.63,54.42,0.0
1,2023-12-12,13,21.48,54.53,0.0
1,2023-12-12,14,21.31,54.59,0.0
1,2023-12-12,15,21.11,54.96,0.0
1,2023-12-12,16,21.0,55.35,0.0
1,2023-12-12,17,20.9,56.58,0.0
1,2023-12-12,18,21.3,55.56,0.0
1,2023-12-12,19,21.78,55.0,0.0
1,2023-12-12,20,22.5,54.18,0.0
1,2023-12-12,21,23.26,53.04,0.0
1,2023-12-12,22,23.89,51.58,0.0
1,2023-12-12,23,24.2,49.87,0.0
2,2023-12-13,0,25.62,38.75,0.0
2,2023-12-13,1,25.14,38.93,0.0
2,2023-12-13,2,24.09,44.39,0.0
2,2023-12-13,3,23.41,48.53,0.0
2,2023-12-13,4,23.24,48.48,0.0
2,2023-12-13,5,22.76,50.34,0.0
2,2023-12-13,6,22.34,51.8,0.0
2,2023-12-13,7,22.11,52.21,0.0
2,2023-12-13,8,21.9,53.14,0.0
2,2023-12-13,9,21.53,54.32,0.0
2,2023-12-13,10,21.1,54.32,0.0
2,2023-12-13,11,20.77,54.5,0.0
2,2023-12-13,12,20.57,54.95,0.0
2,2023-12-13,13,20.51,55.09,0.0
2,2023-12-13,14,20.28,55.3,0.0
2,2023-12-13,15,20.13,55.05,0.0
2,2023-12-13,16,19.8,55.61,0.0
2,2023-12-13,17,19.96,56.49,0.0
2,2023-12-13,18,20.94,54.69,0.0
2,2023-12-13,19,21.98,53.67,0.0
2,2023-12-13,20,22.5,54.18,0.0
2,2023-12-13,21,23.26,53.04,0.0
2,2023-12-13,22,23.89,51.58,0.0
2,2023-12-13,23,24.2,49.87,0.0
3,2023-12-14,0,23.9,48.64,0.0
3,2023-12-14,1,25.16,43.53,0.0
3,2023-12-14,2,25.29,41.29,0.0
3,2023-12-14,3,24.8,44.22,0.0
3,2023-12-14,4,24.07,48.2,0.0
3,2023-12-14,5,23.97,48.62,0.0
3,2023-12-14,6,23.59,50.27,0.0
3,2023-12-14,7,23.24,51.73,0.0
3,2023-12-14,8,23.0,52.5,0.0
3,2023-12-14,9,22.77,53.19,0.0
3,2023-12-14,10,22.32,53.87,0.0
3,2023-12-14,11,21.88,53.94,0.0
3,2023-12-14,12,21.63,54.08,0.0
3,2023-12-14,13,21.4,54.28,0.0
3,2023-12-14,14,21.21,54.41,0.0
3,2023-12-14,15,20.99,54.45,0.0
3,2023-12-14,16,20.54,54.27,0.0
3,2023-12-14,17,20.34,54.49,0.0
3,2023-12-14,18,20.25,55.25,0.0
3,2023-12-14,19,20.75,56.78,0.0
3,2023-12-14,20,21.76,57.35,0.0
3,2023-12-14,21,23.16,57.29,0.0
3,2023-12-14,22,24.38,56.29,0.0
3,2023-12-14,23,25.1,54.91,0.0
4,2023-12-15,0,25.65,53.35,0.0
4,2023-12-15,1,26.12,50.89,0.0
4,2023-12-15,2,25.95,49.95,0.0
4,2023-12-15,3,25.41,52.02,0.0
4,2023-12-15,4,24.69,54.38,0.0
4,2023-12-15,5,24.09,54.94,0.0
4,2023-12-15,6,23.75,55.62,0.0
4,2023-12-15,7,23.59,56.31,0.0
4,2023-12-15,8,23.22,56.17,0.0
4,2023-12-15,9,22.88,55.83,0.0
4,2023-12-15,10,22.53,55.49,0.0
4,2023-12-15,11,22.15,55.59,0.0
4,2023-12-15,12,22.02,55.49,0.0
4,2023-12-15,13,21.86,55.01,0.0
4,2023-12-15,14,21.69,54.12,0.0
4,2023-12-15,15,21.39,53.69,0.0
4,2023-12-15,16,21.11,53.5,0.0
4,2023-12-15,17,20.84,53.51,0.0
4,2023-12-15,18,20.52,54.26,0.0
4,2023-12-15,19,21.07,54.87,0.0
4,2023-12-15,20,22.12,53.82,0.0
4,2023-12-15,21,23.31,54.14,0.0
4,2023-12-15,22,24.38,56.29,0.0
4,2023-12-15,23,25.1,54.91,0.0
5,2023-12-16,0,23.23,53.67,0.0
5,2023-12-16,1,24.86,52.15,0.0
5,2023-12-16,2,25.44,48.62,0.0
5,2023-12-16,3,24.88,51.23,0.0
5,2023-12-16,4,25.09,50.74,0.0
5,2023-12-16,5,24.77,51.55,0.0
5,2023-12-16,6,23.75,55.62,0.0
5,2023-12-16,7,23.59,56.31,0.0
5,2023-12-16,8,23.22,56.17,0.0
5,2023-12-16,9,22.88,55.83,0.0
5,2023-12-16,10,22.53,55.49,0.0
5,2023-12-16,11,23.15,52.59,0.0
5,2023-12-16,12,22.62,53.93,0.0
5,2023-12-16,13,22.37,54.73,0.0
5,2023-12-16,14,22.13,54.81,0.0
5,2023-12-16,15,21.86,54.77,0.0
5,2023-12-16,16,21.42,55.28,0.0
5,2023-12-16,17,21.41,55.37,0.0
5,2023-12-16,18,21.24,55.37,0.0
5,2023-12-16,19,20.9,55.86,0.0
5,2023-12-16,20,20.69,55.99,0.0
5,2023-12-16,21,20.44,56.31,0.0
5,2023-12-16,22,20.35,56.69,0.0
5,2023-12-16,23,21.24,56.46,0.0
6,2023-12-17,0,25.8,51.12,18.45
6,2023-12-17,1,25.11,54.74,6.46
6,2023-12-17,2,25.28,54.87,2.06
6,2023-12-17,3,25.35,55.29,1.8
6,2023-12-17,4,24.92,56.66,1.3
6,2023-12-17,5,24.68,55.12,0.74
6,2023-12-17,6,24.25,53.31,0.0
6,2023-12-17,7,23.8,58.63,4.8
6,2023-12-17,8,22.76,60.63,1.13
6,2023-12-17,9,22.97,59.64,1.82
6,2023-12-17,10,22.7,59.26,3.33
6,2023-12-17,11,22.61,59.02,4.16
6,2023-12-17,12,22.43,58.74,4.71
6,2023-12-17,13,22.13,58.6,5.11
6,2023-12-17,14,21.99,58.49,5.09
6,2023-12-17,15,21.5,58.09,4.12
6,2023-12-17,16,21.78,58.13,4.02
6,2023-12-17,17,22.8,56.9,3.49
6,2023-12-17,18,24.41,54.65,3.42
6,2023-12-17,19,24.51,55.12,3.0
6,2023-12-17,20,25.13,53.84,6.44
6,2023-12-17,21,25.4,52.5,10.37
6,2023-12-17,22,25.68,49.3,11.34
6,2023-12-17,23,25.85,47.89,19.68
7,2023-12-18,0,22.64,59.48,0.0
7,2023-12-18,1,22.4,59.93,0.0
7,2023-12-18,2,22.19,60.3,0.0
7,2023-12-18,3,21.98,60.06,0.0
7,2023-12-18,4,21.76,59.88,0.0
7,2023-12-18,5,22.24,59.88,0.0
7,2023-12-18,6,23.53,59.04,0.0
7,2023-12-18,7,22.99,59.87,0.0
7,2023-12-18,8,22.49,60.84,0.0
