,Chicken_No,Weight
count,90.0,90.0
mean,45.5,2.7634833333333333
std,26.124700955226263,0.08864017940242666
min,1.0,2.6026
25%,23.25,2.6942
50%,45.5,2.7858
75%,67.75,2.833175
max,90.0,2.8944
